offset,description,measurement_unit,data_type
0,._00_P_actual_R	Puissance en kW,,VIRGULE_FLOTTANTE
4,._00_P_actual_measured	Puissance mesurée en kW,,VIRGULE_FLOTTANTE
18,._00_Gen_PT100_1	Alternateur: valeur de température 1 PT100,,VIRGULE_FLOTTANTE
22,._00_Gen_PT100_2	Alternateur: valeur de température 2 PT100,,VIRGULE_FLOTTANTE
46,._02_BR_Ia_actual	Valeur réelle du courant Simoreg de freinage,,VIRGULE_FLOTTANTE
54,._02_BR_UN_actual_R	Tension réseau du simoreg de freinage,,VIRGULE_FLOTTANTE
58,._02_BR_FN_actual_R	Fréquence de réseau,,VIRGULE_FLOTTANTE
82,._04_Setpoint_R	Valeur de consigne réduite pour pompe hydraulique,,VIRGULE_FLOTTANTE
94,._04_Setpoint_Y_R	Valeur de consigne pompe hydraulique,,VIRGULE_FLOTTANTE
98,._04_Temp_hydr_R	Température du système hydraulique,,VIRGULE_FLOTTANTE
102,._04_act_pressure_pump	Valeur réelle pression de pompe,,VIRGULE_FLOTTANTE
106,._04_act_angle_P1	Valeur réelle angle de pivotement pompe 1,,VIRGULE_FLOTTANTE
110,._04_act_angle_P2	Valeur réelle angle de pivotement pompe 2,,VIRGULE_FLOTTANTE
114,._04_act_angle_P3	Valeur réelle angle de pivotement pompe 3,,VIRGULE_FLOTTANTE
118,._04_act_angle_P4	Valeur réelle angle de pivotement pompe 4,,VIRGULE_FLOTTANTE
122,._07_Fuel_level_cent_R	Réservoir de carburant diesel: niveau de remplissage en %,,VIRGULE_FLOTTANTE
138,._11_H_height_limit_POS_R	Hauteur de levage admissible pour le levage calculée,,VIRGULE_FLOTTANTE
146,._11_H_height_perm_cent_R	Hauteur de levage admissible en pourcentage,,VIRGULE_FLOTTANTE
178,._11_MS1_Y_R	Ordre: lire et adapter valeur de consigne,,VIRGULE_FLOTTANTE
182,._11_MS2_Y_R	Réduire valeur de consigne vitesse pour réduction puissance,,VIRGULE_FLOTTANTE
186,._11_MS3_Y_R	Calculer valeur consigne vitesse rotation du méc. levage suivant la charge,,VIRGULE_FLOTTANTE
190,._11_MS4_Y_R	Appliquer val. pré-fin de course et val. cons. commande par à-coups,,VIRGULE_FLOTTANTE
202,._11_MS8_Y_R	Montée / descente jusqu’au point cible valeur de consigne réduite,,VIRGULE_FLOTTANTE
206,._11_N_setpoint_R	Transmission de consigne à l'entraînement en %,,VIRGULE_FLOTTANTE
214,._11_V_actual_R	Vitesse du méc. levage en m/min,,VIRGULE_FLOTTANTE
218,._11_N_actual_R	Valeur réelle vitesse en t/min,,VIRGULE_FLOTTANTE
222,._11_I_actual_R	Valeur réelle du courant en A,,VIRGULE_FLOTTANTE
226,._11_P_actual_R	Valeur réelle de la puissance en kW,,VIRGULE_FLOTTANTE
230,._11_UM_actual_R	Valeur réelle tension moteur en V,,VIRGULE_FLOTTANTE
234,._11_fN_actual_R	Valeur réelle de la fréquence secteur en Hz,,VIRGULE_FLOTTANTE
242,._11_Motor_temp_actual_R	Valeur réelle de température du moteur en °C,,VIRGULE_FLOTTANTE
250,._11_H_height_actual_R	Valeur réelle de la hauteur de levage en m (codeur absolu),,VIRGULE_FLOTTANTE
262,._11_Press_brake_R	Pression de service pour le frein du méc. de levage,,VIRGULE_FLOTTANTE
270,._11_V_allow_R	Méc. levage: vitesse admissible en m/min,,VIRGULE_FLOTTANTE
280,._11_Oil_temp_gear_R	Méc. levage 1: température de l'huile du réducteur,,VIRGULE_FLOTTANTE
